1777761526,-0.02806,-0.12812,-0.13604,0.79627,-0.60424,-0.02716,-0.01049,-0.90198,-0.66916,0.14770,
1777761526,-0.04786,-0.18027,-0.10637,0.78486,-0.61915,-0.02313,-0.01083,-0.94426,-0.61868,0.25954,
1777761526,-0.07854,-0.24341,-0.11851,0.77734,-0.62860,-0.01754,-0.01711,-1.02748,-0.57332,0.29623,
1777761526,-0.06200,-0.28586,-0.13952,0.77327,-0.63353,-0.01735,-0.01965,-1.07270,-0.54668,0.38783,
1777761527,-0.15627,-0.35147,-0.17539,0.76847,-0.63914,-0.01319,-0.02800,-1.19796,-0.60919,0.41538,
1777761527,-0.21815,-0.39731,-0.21143,0.76554,-0.64246,-0.01237,-0.03229,-1.27318,-0.63725,0.44108,
1777761527,-0.38149,-0.47555,-0.27254,0.76429,-0.64367,-0.01248,-0.03742,-1.47834,-0.68976,0.39777,
1777761527,-0.46047,-0.52806,-0.32712,0.76441,-0.64318,-0.01778,-0.04103,-1.58878,-0.70534,0.38524,
1777761527,-0.59889,-0.59745,-0.33895,0.76583,-0.64070,-0.02233,-0.05005,-1.70756,-0.78418,0.45566,
1777761527,-0.65370,-0.62438,-0.32480,0.76799,-0.63822,-0.02313,-0.04838,-1.73998,-0.81560,0.43729,
1777761527,-0.78075,-0.68859,-0.30557,0.76932,-0.63682,-0.02738,-0.04302,-1.83601,-0.85231,0.41827,
1777761527,-0.82859,-0.70669,-0.27924,0.77165,-0.63400,-0.02773,-0.04277,-1.86998,-0.86338,0.41323,
1777761527,-0.97197,-0.77602,-0.26692,0.77553,-0.62925,-0.02900,-0.04189,-1.98865,-0.90436,0.40049,
1777761527,-1.01852,-0.79156,-0.23713,0.77780,-0.62643,-0.02934,-0.04183,-2.02305,-0.93858,0.40104,
1777761527,-1.16609,-0.86135,-0.22185,0.78073,-0.62269,-0.03131,-0.04168,-2.11456,-0.96360,0.39496,
1777761527,-1.21634,-0.88165,-0.19515,0.78091,-0.62221,-0.03395,-0.04340,-2.13934,-0.99880,0.39829,
1777761527,-1.37429,-0.95601,-0.17990,0.78193,-0.62065,-0.03708,-0.04480,-2.23044,-1.05280,0.40120,
1777761527,-1.43597,-0.98436,-0.15340,0.78352,-0.61855,-0.03823,-0.04505,-2.26923,-1.07860,0.39225,
1777761527,-1.58869,-1.05476,-0.13745,0.78563,-0.61571,-0.04041,-0.04536,-2.36802,-1.13020,0.36856,
1777761527,-1.65740,-1.08853,-0.11498,0.78675,-0.61397,-0.04291,-0.04713,-2.40366,-1.16483,0.35990,
1777761527,-1.82610,-1.16931,-0.09850,0.78838,-0.61160,-0.04517,-0.04865,-2.49005,-1.22850,0.36469,
1777761527,-1.89214,-1.20434,-0.08022,0.78917,-0.61046,-0.04639,-0.04900,-2.52738,-1.25644,0.35522,
1777761527,-2.06857,-1.28983,-0.06390,0.78926,-0.61022,-0.04761,-0.04934,-2.61213,-1.31273,0.36561,
1777761528,-2.14188,-1.32986,-0.04908,0.78945,-0.60989,-0.04862,-0.04946,-2.65792,-1.34756,0.35617,
1777761528,-2.32920,-1.42386,-0.03473,0.79143,-0.60699,-0.05063,-0.05139,-2.76165,-1.42284,0.34693,
